# Accelerometer Data File
# Started @Tue Jan 26 20:14:58 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.881 6.023 7.766 0
0.383 5.87 7.92 5
0.612 6.052 7.584 4
1.149 6.177 7.603 5
1.359 6.119 7.508 5
1.149 6.042 7.479 5
1.005 6.1 7.517 6
0.9 6.004 7.412 5
0.823 5.985 7.278 4
0.938 5.975 7.259 5
1.149 6.023 7.498 5
1.264 6.014 7.718 5
1.244 5.985 7.987 6
1.187 5.966 7.872 5
1.11 5.975 7.757 4
1.024 6.033 7.469 5
0.967 5.985 7.412 5
0.871 5.995 7.287 6
0.861 6.09 7.201 5
0.976 6.138 7.173 4
1.072 6.167 7.24 5
1.149 6.157 7.173 5
1.244 6.167 7.163 5
1.35 6.186 7.297 6
1.369 6.263 7.431 5
1.369 6.234 7.508 4
1.254 6.205 7.489 5
1.149 6.244 7.575 5
1.053 6.148 7.517 5
0.976 6.138 7.565 6
1.034 6.138 7.556 5
1.053 6.148 7.69 4
1.177 6.148 7.795 5
1.379 6.244 7.824 5
1.493 6.224 7.824 6
1.465 6.253 7.613 5
1.331 6.244 7.536 4
1.388 6.215 7.441 5
1.254 6.138 7.335 5
1.158 6.157 7.24 5
1.12 6.167 7.201 6
1.072 6.052 7.096 5
1.082 6.004 7.153 4
1.034 5.985 7.23 5
0.852 6.033 7.297 5
0.814 6.062 7.402 5
0.938 6.014 7.469 6
1.091 6.014 8.044 4
1.225 5.861 8.159 5
1.264 5.765 8.111 5
1.331 5.698 7.699 5
1.225 5.908 7.173 6
1.072 6.081 6.531 5
1.216 6.052 5.535 4
1.388 6.09 5.075 5
2.375 5.41 3.897 5
2.853 4.568 0.134 5
0.699 6.914 1.101 6
0.43 8.025 3.399 5
1.063 7.297 4.702 4
1.963 5.477 4.75 5
1.886 4.922 4.721 5
1.225 5.161 5.066 5
0.526 5.525 5.477 6
0.746 5.334 5.19 4
0.967 5.257 5.363 5
3.83 2.806 5.851 6
4.797 2.758 6.54 4
2.346 5.19 6.703 6
0.067 7.105 6.665 5
-0.766 7.268 6.607 4
-0.775 6.052 6.598 5
-0.574 4.491 6.349 5
-0.775 3.936 5.707 5
-1.158 3.936 4.577 6
-1.216 4.098 3.15 5
-1.273 4.146 1.742 4
-1.407 4.137 0.229 5
-1.503 3.792 -1.513 5
-1.388 3.371 -2.691 6
-1.206 2.968 -3.409 5
-0.909 2.595 -3.581 4
-0.804 2.365 -3.39 5
-0.718 2.24 -2.882 5
-0.622 1.972 -2.02 5
-0.622 1.628 -1.158 6
-0.756 1.187 -0.047 5
-1.264 0.814 0.804 4
-1.934 0.421 1.312 5
-2.317 0.086 1.944 5
-2.451 -0.354 2.173 5
-2.336 -0.689 1.781 6
-2.403 -1.168 0.612 5
-2.537 -1.685 -0.842 4
-2.863 -2.365 -2.585 5
-3.189 -2.92 -4.194 5
-3.62 -3.562 -5.497 6
-4.156 -4.185 -6.818 5
-4.29 -4.75 -7.412 4
-4.108 -5.343 -7.623 5
-3.476 -6.138 -7.785 5
-2.394 -6.914 -7.795 5
-1.11 -7.575 -7.469 6
-0.143 -8.255 -6.876 5
0.708 -8.695 -6.215 4
1.608 -9.442 -5.41 5
2.786 -10.477 -4.683 5
3.859 -11.769 -4.28 5
4.558 -12.603 -4.213 6
4.884 -13.589 -4.616 4
4.759 -14.633 -4.865 5
4.845 -15.581 -5.142 5
5.267 -16.606 -4.999 5
6.291 -17.697 -4.683 6
7.479 -18.895 -4.405 5
8.58 -20.178 -4.328 4
9.672 -21.921 -4.376 5
10.515 -23.156 -4.309 5
11.07 -24.219 -4.175 5
11.712 -25.072 -4.079 6
12.593 -26.24 -3.849 5
13.723 -27.466 -3.744 4
14.901 -29.247 -3.639 5
15.782 -30.588 -3.629 5
16.711 -32.043 -3.552 5
17.573 -33.461 -3.6 6
18.531 -34.83 -3.466 4
19.594 -36.525 -3.342 5
20.992 -38.24 -3.265 5
22.294 -39.504 -3.074 5
23.798 -40.337 -2.566 6
24.363 -42.061 -2.039 5
25.129 -43.756 -1.561 4
26.039 -44.838 -1.015 5
26.891 -45.47 -0.057 5
27.648 -45.671 0.632 5
28.194 -45.518 1.331 6
28.682 -45.212 2.327 5
29.017 -44.388 3.198 4
29.305 -43.392 4.031 5
29.496 -42.252 5.027 5
29.534 -40.643 5.592 6
29.515 -39.293 6.33 5
29.391 -37.598 6.895 4
29.467 -35.577 7.642 5
29.573 -33.509 8.418 5
29.592 -31.44 8.916 5
29.601 -28.749 9.471 6
29.506 -26.403 9.701 5
29.285 -24.028 9.605 4
29.17 -21.796 9.481 5
29.266 -19.479 9.394 5
29.563 -17.362 9.327 5
29.774 -14.891 9.069 6
29.668 -13.196 8.906 5
28.969 -11.425 8.772 4
27.715 -9.701 8.647 5
26.029 -7.958 8.226 5
24.133 -6.215 7.345 6
22.036 -4.788 6.09 5
19.613 -4.003 4.73 4
17.86 -3.409 3.543 5
16.031 -2.738 2.48 5
14.393 -1.915 1.829 5
12.861 -1.13 1.493 6
11.52 -0.172 1.57 5
10.151 0.689 2.078 4
9.576 1.177 2.451 5
9.528 1.283 3.284 5
9.634 1.158 4.041 5
10.17 0.909 4.989 6
10.63 0.632 6.148 4
11.118 0.67 7.613 5
11.444 0.766 8.868 5
11.932 0.699 9.864 5
12.449 0.536 10.706 6
13.378 0.181 11.281 5
14.48 -0.287 11.53 4
15.619 -1.149 11.291 5
16.845 -1.819 10.735 5
17.458 -2.384 9.988 5
18.09 -2.681 9.107 6
18.751 -2.911 8.101 5
19.517 -3.131 6.924 4
20.484 -3.514 5.631 5
21.988 -3.62 4.922 5
23.568 -3.227 4.309 5
25.512 -2.901 4.041 6
27.542 -2.719 3.974 4
29.439 -2.815 4.127 5
31.162 -3.256 4.529 5
32.206 -3.926 5.41 5
32.235 -4.481 6.493 6
31.699 -5.123 7.766 5
30.53 -6.11 8.973 4
29.439 -7.201 10.304 5
28.05 -7.46 16.002 5
28.988 -9.184 12.804 5
30.061 -10.955 10.065 6
29.831 -11.31 8.59 5
29.764 -11.875 6.11 4
30.588 -12.765 3.217 5
31.842 -14.01 1.628 5
33.873 -15.437 1.398 6
35.769 -16.634 2.011 5
37.876 -17.621 2.451 4
40.26 -18.617 2.767 6
43.373 -19.651 2.758 4
46.447 -21.289 2.154 5
48.592 -24.056 -0.095 6
48.65 -26.297 -2.384 5
47.73 -28.672 -4.165 4
46.572 -30.837 -5.497 5
44.991 -32.886 -6.234 5
43.421 -34.859 -6.416 5
41.611 -36.784 -5.592 6
39.092 -38.029 -4.405 5
37.723 -38.948 -2.901 4
36.976 -39.59 -1.13 5
37.416 -40.088 0.938 5
38.594 -40.452 2.853 6
39.456 -41.209 4.175 5
39.446 -42.272 4.721 4
39.025 -42.76 5.152 5
38.45 -42.99 5.707 5
37.972 -43.507 6.004 5
37.579 -44.015 4.558 6
37.474 -44.503 2.049 5
37.665 -44.848 1.513 4
37.761 -45.135 3.438 5
37.665 -45.441 4.865 5
37.665 -45.863 4.644 5
37.359 -46.294 3.629 6
36.717 -46.677 2.595 4
34.907 -47.424 1.407 5
32.905 -47.989 0.277 5
30.597 -48.314 -0.574 5
28.376 -48.372 -0.957 6
26.317 -48.487 -0.574 5
23.587 -48.803 -0.469 4
20.695 -48.439 -1.12 5
19.383 -47.52 -0.842 5
19.009 -46.648 -0.545 5
19.239 -45.7 -0.622 6
19.546 -45.231 -1.12 5
19.527 -44.79 -1.168 4
19.287 -44.532 -1.168 5
19.038 -45.001 -1.561 5
18.224 -45.422 -1.57 6
16.663 -45.202 -1.264 5
14.815 -44.369 -1.244 4
13.33 -43.67 -1.656 5
11.903 -42.904 -2.413 5
10.065 -41.697 -2.528 5
8.81 -40.643 -2.221 6
7.852 -39.82 -0.833 5
6.837 -39.073 0.986 4
5.094 -38.154 2.269 5
2.729 -37.225 2.815 5
