# Accelerometer Data File
# Started @Tue Jan 26 20:12:48 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.344 5.43 8.255 0
0.354 5.382 8.207 4
0.316 5.391 8.207 5
0.335 5.382 8.216 5
0.316 5.41 8.159 5
0.268 5.382 8.13 5
0.325 5.382 8.063 5
0.296 5.477 8.13 5
0.325 5.477 8.255 5
0.325 5.535 8.255 5
0.287 5.544 8.255 5
0.248 5.497 8.216 5
0.306 5.477 8.264 5
0.248 5.449 8.121 5
0.306 5.41 8.226 5
0.268 5.42 8.188 5
0.296 5.487 8.255 5
0.114 5.439 8.169 5
0.172 5.382 8.207 5
0.258 5.363 8.293 5
1.302 5.142 8.283 5
1.177 5.267 8.159 5
0.718 5.516 7.967 5
0.172 5.707 8.006 5
0.019 5.64 8.034 5
0.124 5.41 8.111 5
0.258 5.295 8.188 5
0.258 5.19 8.283 5
0.181 5.295 8.274 5
0.067 5.295 8.293 5
0.038 5.363 8.245 5
0.143 5.334 8.197 5
0.191 5.286 8.054 5
0.287 5.286 8.015 5
0.306 5.295 7.92 5
0.268 5.315 7.766 5
0.306 5.334 7.824 5
0.229 5.295 7.709 5
0.239 5.353 7.718 5
0.229 5.334 7.69 5
0.239 5.324 7.824 5
0.201 5.324 7.833 5
0.181 5.324 7.958 5
0.162 5.343 8.082 5
0.181 5.324 8.121 5
0.124 5.353 8.283 5
0.114 5.315 8.274 5
0.086 5.334 8.408 5
0.095 5.343 8.465 5
0.067 5.334 8.523 5
0.086 5.324 8.561 5
0.047 5.382 8.475 5
0.095 5.372 8.475 5
0.105 5.353 8.523 5
0.162 5.391 8.37 5
0.248 5.42 8.293 5
0.287 5.382 8.245 5
0.277 5.449 8.14 5
0.335 5.449 8.13 5
0.316 5.42 8.082 5
0.335 5.439 8.092 5
0.335 5.43 7.987 5
0.306 5.42 8.14 5
0.296 5.477 8.159 5
0.296 5.468 8.255 5
0.248 5.477 8.36 5
0.268 5.449 8.36 5
0.248 5.43 8.504 5
0.239 5.477 8.504 5
0.248 5.41 8.475 5
0.268 5.41 8.494 5
0.268 5.439 8.465 5
0.239 5.43 8.389 5
0.287 5.458 8.322 5
0.277 5.42 8.188 5
0.363 5.458 8.264 5
0.383 5.41 8.169 5
0.363 5.401 8.13 5
0.373 5.401 8.054 5
0.344 5.449 8.025 5
0.354 5.382 8.054 5
0.344 5.343 8.044 5
0.363 5.343 8.092 5
0.344 5.391 8.111 5
0.335 5.382 8.101 5
0.373 5.41 8.121 5
0.335 5.391 8.121 5
0.335 5.401 8.149 5
0.335 5.41 8.14 5
0.325 5.401 8.226 5
0.248 5.372 8.149 5
0.268 5.372 8.082 5
0.162 5.353 8.169 5
0.172 5.382 8.216 5
0.172 5.334 8.216 5
0.114 5.353 8.264 5
0.172 5.257 8.322 5
0.181 5.315 8.379 5
0.181 5.324 8.379 5
0.181 5.315 8.379 5
0.201 5.391 8.312 5
0.248 5.372 8.389 5
0.296 5.391 8.312 5
0.296 5.42 8.303 5
0.392 5.42 8.35 5
0.402 5.363 8.322 5
0.383 5.42 8.264 5
0.335 5.401 8.178 5
0.344 5.401 8.216 5
0.268 5.372 8.14 5
0.201 5.363 8.082 5
0.114 5.343 8.034 5
0.086 5.363 8.015 5
0.009 5.353 8.006 5
-0.019 5.315 8.044 5
-0.019 5.295 7.977 5
0.0 5.305 8.006 5
-0.038 5.295 7.996 5
-0.038 5.295 8.044 5
-0.019 5.315 8.034 5
-0.028 5.353 8.13 5
-0.009 5.305 8.159 5
0.086 5.324 8.245 5
0.153 5.295 8.331 5
0.162 5.343 8.36 5
0.181 5.334 8.504 5
0.201 5.353 8.542 5
0.172 5.343 8.58 5
0.162 5.324 8.647 5
0.143 5.363 8.734 5
0.143 5.334 8.714 5
0.143 5.315 8.743 5
0.124 5.324 8.734 5
0.076 5.315 8.59 5
0.019 5.286 8.561 5
0.019 5.315 8.504 5
0.0 5.267 8.408 5
0.047 5.334 8.322 5
0.047 5.353 8.226 5
0.057 5.295 8.236 5
0.086 5.363 8.121 5
0.124 5.382 8.073 5
0.153 5.353 8.149 5
0.172 5.372 8.092 5
0.248 5.353 8.255 5
0.258 5.41 8.236 5
0.306 5.372 8.322 5
0.287 5.363 8.35 5
0.306 5.382 8.465 5
0.363 5.391 8.446 5
0.354 5.363 8.408 5
0.335 5.343 8.504 5
0.344 5.372 8.408 5
0.316 5.315 8.418 5
0.287 5.343 8.437 5
0.316 5.334 8.37 5
0.239 5.276 8.322 5
0.277 5.286 8.236 5
0.239 5.295 8.169 5
0.201 5.324 8.169 5
0.229 5.315 8.14 5
0.268 5.363 8.082 5
0.277 5.391 8.101 5
