# Accelerometer Data File
# Started @Tue Jan 26 20:13:58 GMT+01:00 2021
#
#
# sensor Vendor: KIONIX
# sensor Name: accelerometer-kx023
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.306 5.324 8.379 0
0.287 5.353 8.389 5
0.229 5.324 8.331 4
0.239 5.315 8.293 5
0.239 5.276 8.264 5
0.277 5.286 8.169 6
0.22 5.315 8.111 5
0.239 5.334 8.14 5
0.22 5.295 8.121 4
0.517 5.276 7.92 5
0.526 5.286 7.9 5
0.306 5.372 7.929 5
0.248 5.401 7.996 6
0.268 5.391 8.169 4
0.325 5.305 8.331 5
0.316 5.324 8.456 5
0.181 5.238 7.536 5
0.114 5.267 7.441 6
0.114 5.267 7.757 5
0.21 5.171 8.082 4
0.239 5.114 8.37 5
0.22 5.133 8.485 5
0.181 5.219 8.485 5
0.134 5.228 8.523 6
0.124 5.267 8.456 5
0.239 5.257 8.437 4
0.22 5.305 8.446 5
0.325 5.353 8.35 5
0.373 5.41 8.389 5
0.421 5.458 8.236 6
0.44 5.401 8.475 4
0.478 5.43 8.542 5
0.545 5.401 8.619 5
0.536 5.43 8.667 5
0.488 5.487 8.686 6
0.44 5.497 8.724 5
0.43 5.497 8.81 4
0.459 5.497 8.676 5
0.507 5.458 8.686 5
0.526 5.42 8.657 5
0.517 5.458 8.609 6
0.507 5.439 8.58 5
0.44 5.535 8.552 4
0.392 5.564 8.552 5
0.373 5.573 8.532 5
0.363 5.525 8.552 5
0.325 5.516 8.523 6
0.316 5.506 8.504 4
0.239 5.41 8.446 5
0.172 5.41 8.379 5
0.201 5.363 8.293 5
0.172 5.391 8.197 6
0.21 5.353 8.13 5
0.21 5.353 8.149 4
0.239 5.391 8.101 5
0.335 5.401 8.14 5
0.373 5.372 8.274 5
0.363 5.324 8.283 6
0.411 5.334 8.303 5
0.383 5.305 8.37 4
0.306 5.276 8.418 5
0.229 5.2 8.437 5
0.134 5.2 8.331 6
0.086 5.142 8.264 5
0.009 5.133 8.226 4
-0.009 5.066 8.255 5
0.0 5.142 8.159 5
0.0 5.171 8.111 5
-0.038 5.209 8.073 6
-0.028 5.171 8.044 5
0.0 5.219 8.063 4
0.067 5.219 8.121 5
0.095 5.219 8.054 5
0.153 5.228 8.111 5
0.124 5.305 8.073 6
0.21 5.324 8.063 4
0.181 5.343 7.967 5
0.172 5.372 7.996 5
0.21 5.42 8.006 5
0.21 5.43 7.92 6
0.248 5.477 7.881 5
0.239 5.458 7.843 4
0.287 5.449 7.824 5
0.306 5.506 7.824 5
0.383 5.43 7.747 5
0.507 5.41 7.805 6
0.497 5.41 7.92 5
0.517 5.449 7.987 4
0.536 5.497 8.14 5
0.526 5.506 8.264 5
0.507 5.535 8.418 5
0.507 5.497 8.552 6
0.44 5.477 8.504 4
0.402 5.525 8.599 5
0.383 5.516 8.552 5
0.335 5.516 8.523 5
0.258 5.506 8.504 6
0.191 5.497 8.35 5
0.21 5.477 8.197 4
0.229 5.477 8.159 5
0.229 5.477 7.977 5
0.229 5.506 8.006 5
0.287 5.449 7.948 6
0.239 5.477 7.785 5
0.296 5.497 7.833 4
0.248 5.487 7.68 5
0.316 5.458 7.661 5
0.325 5.449 7.613 5
0.335 5.468 7.565 6
0.306 5.401 7.575 4
0.363 5.401 7.556 5
0.354 5.477 7.613 5
0.373 5.487 7.632 5
0.344 5.487 7.603 6
0.383 5.525 7.671 5
0.335 5.564 7.747 4
0.296 5.592 7.642 5
0.277 5.487 7.479 5
0.296 5.286 7.297 5
0.239 5.238 7.144 6
0.143 5.295 7.058 5
0.114 5.41 6.703 4
0.067 5.439 6.588 5
0.076 5.468 6.378 5
0.162 5.42 6.272 6
0.239 5.372 6.196 5
0.277 5.276 6.014 4
0.239 5.209 5.851 5
0.335 5.19 5.679 5
0.354 5.123 5.564 5
0.44 5.19 5.382 6
0.517 5.171 5.334 5
0.651 5.238 5.353 4
0.708 5.267 5.487 5
0.737 5.238 5.612 5
0.804 5.171 5.841 5
0.804 5.085 6.004 6
0.679 5.018 6.205 4
0.756 4.778 8.073 5
0.967 4.654 8.743 5
0.565 4.817 7.843 5
0.086 4.951 6.713 6
-0.038 4.979 6.023 5
0.392 4.874 5.315 4
-0.067 4.836 4.807 5
0.0 4.673 4.414 6
0.363 4.462 4.539 4
0.574 4.29 4.759 6
3.572 3.897 6.033 5
2.451 3.907 5.851 4
1.187 4.089 5.841 5
0.363 4.271 5.908 5
-0.392 4.424 5.564 5
-0.67 4.347 5.248 6
-0.67 4.242 4.788 4
-0.507 4.223 4.28 5
-0.383 4.156 4.079 5
-0.162 4.07 4.127 5
0.0 4.041 4.223 6
0.268 4.003 4.309 5
0.488 3.983 4.386 4
0.766 3.859 4.673 5
0.948 3.782 4.941 5
1.063 3.715 4.999 5
1.034 3.687 5.133 6
0.976 3.696 5.267 5
0.89 3.773 5.41 4
0.794 3.801 5.707 5
0.67 3.849 5.947 5
0.641 3.926 5.947 5
0.785 3.916 5.64 6
0.861 3.696 5.554 4
0.957 3.543 5.276 5
1.034 3.323 5.104 5
1.12 3.102 5.008 5
1.216 3.055 4.874 6
1.388 3.102 4.788 5
1.685 3.189 4.673 4
1.905 3.169 4.635 5
2.173 3.016 4.663 5
2.365 2.767 4.884 5
2.413 2.442 4.999 6
2.422 2.308 4.999 5
2.576 2.212 5.123 4
2.633 2.126 5.391 5
2.566 2.097 5.889 5
2.489 2.279 6.349 5
2.403 2.355 6.607 6
2.279 2.327 7.077 4
2.193 2.221 7.354 5
2.193 2.03 7.805 5
2.221 1.924 7.9 5
2.183 1.848 8.207 6
2.24 1.503 8.379 5
2.279 1.321 8.571 4
2.308 1.158 8.599 5
2.24 1.063 8.609 5
2.145 0.957 8.552 5
2.164 0.775 8.513 6
2.173 0.67 8.456 4
2.26 0.536 8.331 5
2.355 0.43 8.341 5
2.489 0.373 8.341 5
2.806 0.459 8.398 6
3.007 0.612 8.667 5
3.351 0.852 8.954 4
3.543 1.139 9.519 5
3.639 1.244 9.95 5
3.687 1.273 10.314 5
3.725 1.139 10.649 6
3.849 0.928 10.85 5
3.897 0.622 10.879 4
3.715 0.488 10.754 5
3.6 0.411 10.496 5
3.562 0.239 10.141 5
3.466 0.047 9.634 6
3.418 -0.191 9.088 4
3.514 -0.325 8.657 5
3.725 -0.45 8.456 5
4.012 -0.402 8.427 5
4.252 -0.268 8.418 6
4.635 -0.057 8.801 5
5.104 -0.105 9.232 4
5.439 -0.067 9.672 5
5.746 -0.086 10.17 5
5.908 -0.134 10.515 5
6.023 -0.258 10.869 6
6.042 -0.392 11.08 5
5.995 -0.43 11.319 4
5.822 -0.478 11.473 5
5.564 -0.536 11.453 5
5.2 -0.689 11.348 5
4.874 -0.814 11.109 6
4.692 -0.938 10.927 4
4.596 -1.158 10.687 5
4.596 -1.197 10.457 5
4.711 -1.244 10.237 5
5.094 -1.321 10.275 6
5.343 -1.225 10.381 5
5.774 -1.168 10.601 4
6.148 -1.139 10.773 5
6.378 -0.909 10.994 5
6.962 -1.024 11.329 5
7.23 -1.13 11.616 6
7.374 -1.235 11.75 4
7.307 -1.216 12.038 5
7.268 -1.273 12.191 5
7.374 -1.589 12.449 5
7.354 -1.953 12.708 6
7.182 -2.097 12.794 5
6.636 -2.106 12.622 4
6.244 -2.327 12.287 5
5.928 -2.528 11.884 5
5.544 -2.624 11.271 5
5.219 -2.643 10.773 6
4.836 -2.614 10.055 5
4.654 -2.557 9.605 4
4.529 -2.576 9.184 5
4.625 -2.652 8.858 5
4.817 -2.796 8.858 5
5.248 -2.853 9.097 6
5.439 -2.633 9.461 4
5.937 -2.853 9.825 5
6.387 -3.064 10.17 5
6.732 -3.208 10.524 5
6.981 -3.361 10.773 6
7.173 -3.457 10.994 5
7.249 -3.476 11.243 4
7.307 -3.505 11.54 5
7.335 -3.514 11.693 5
7.307 -3.533 11.961 5
7.278 -3.495 11.98 6
7.144 -3.562 11.971 5
7.048 -3.782 11.674 4
6.588 -3.744 11.549 5
6.301 -3.859 11.348 5
6.042 -3.792 11.07 5
5.535 -3.667 10.907 6
5.372 -3.677 10.754 4
5.161 -3.552 10.745 5
5.094 -3.792 10.735 5
5.238 -3.706 11.032 5
5.401 -3.667 11.377 6
5.64 -3.648 11.693 5
5.631 -3.706 12.047 4
5.583 -3.763 12.2 6
5.43 -3.706 12.354 4
5.449 -3.744 12.401 5
5.248 -3.754 12.334 6
5.085 -3.801 12.315 5
4.855 -3.773 12.239 4
4.673 -3.687 12.248 5
4.453 -3.754 12.133 5
4.213 -3.734 12.038 5
4.127 -3.696 11.884 6
4.079 -3.62 11.942 4
4.07 -3.591 12.028 5
4.07 -3.495 12.191 5
4.022 -3.39 12.22 5
4.041 -3.466 12.181 6
3.983 -3.39 12.066 5
3.974 -3.428 11.894 4
3.811 -3.323 11.674 5
3.821 -3.122 11.53 5
3.83 -2.997 11.338 5
3.916 -2.959 11.214 6
4.079 -2.978 11.013 4
4.118 -3.007 10.888 5
4.127 -3.007 10.888 5
4.031 -2.987 10.783 5
3.945 -3.007 10.764 6
3.849 -2.959 10.639 5
3.744 -3.045 10.639 4
3.62 -2.978 10.62 5
3.485 -2.911 10.486 5
3.294 -2.863 10.582 5
3.16 -2.892 10.505 6
3.189 -2.815 10.448 5
3.217 -2.71 10.381 4
3.438 -2.624 10.457 5
3.447 -2.566 10.295 5
3.591 -2.652 10.285 5
3.715 -2.576 10.084 6
3.84 -2.528 9.931 4
3.763 -2.346 9.854 5
